#benchmark time_base time_nzdc slowdown
400.perlbench 151.89 337.85 2.22431
401.bzip2 82.63 129.88 1.57183
429.mcf 319.47 413.92 1.29565
445.gobmk 45.92 99.74 2.17204
456.hmmer 78.14 209.81 2.68505
458.sjeng 380.17 791.55 2.08209
462.libquantum 205.26 246.55 1.20116
464.h264ref 51.37 149.37 2.90773
473.astar 124.92 200.90 1.60823
parsec.blackscholes 0.14 0.19 1.35714
parsec.dedup 0.93 1.51 1.62366
parsec.fluidanimate 0.53 0.80 1.50943
parsec.freqmine 1.30 2.46 1.89231
parsec.streamcluster 0.94 1.34 1.42553
parsec.swaptions 0.70 1.27 1.81429
